id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,date,sleep_hours,time_in_bed_hours,awake_time_in_bed_minutes
1503960366,2016-04-12,1,327,346,2016-04-12,5.45,5.77,19
1503960366,2016-04-13,2,384,407,2016-04-13,6.4,6.78,23
1503960366,2016-04-15,1,412,442,2016-04-15,6.87,7.37,30
1503960366,2016-04-16,2,340,367,2016-04-16,5.67,6.12,27
1503960366,2016-04-17,1,700,712,2016-04-17,11.67,11.87,12
1503960366,2016-04-19,1,304,320,2016-04-19,5.07,5.33,16
1503960366,2016-04-20,1,360,377,2016-04-20,6.0,6.28,17
1503960366,2016-04-21,1,325,364,2016-04-21,5.42,6.07,39
1503960366,2016-04-23,1,361,384,2016-04-23,6.02,6.4,23
1503960366,2016-04-24,1,430,449,2016-04-24,7.17,7.48,19
1503960366,2016-04-25,1,277,323,2016-04-25,4.62,5.38,46
1503960366,2016-04-26,1,245,274,2016-04-26,4.08,4.57,29
1503960366,2016-04-28,1,366,393,2016-04-28,6.1,6.55,27
1503960366,2016-04-29,1,341,354,2016-04-29,5.68,5.9,13
1503960366,2016-04-30,1,404,425,2016-04-30,6.73,7.08,21
1503960366,2016-05-01,1,369,396,2016-05-01,6.15,6.6,27
1503960366,2016-05-02,1,277,309,2016-05-02,4.62,5.15,32
1503960366,2016-05-03,1,273,296,2016-05-03,4.55,4.93,23
1503960366,2016-05-05,1,247,264,2016-05-05,4.12,4.4,17
1503960366,2016-05-06,1,334,367,2016-05-06,5.57,6.12,33
1503960366,2016-05-07,1,331,349,2016-05-07,5.52,5.82,18
1503960366,2016-05-08,1,594,611,2016-05-08,9.9,10.18,17
1503960366,2016-05-09,1,338,342,2016-05-09,5.63,5.7,4
1503960366,2016-05-10,1,383,403,2016-05-10,6.38,6.72,20
1503960366,2016-05-11,1,285,306,2016-05-11,4.75,5.1,21
1644430081,2016-04-29,1,119,127,2016-04-29,1.98,2.12,8
1644430081,2016-04-30,1,124,142,2016-04-30,2.07,2.37,18
1644430081,2016-05-02,1,796,961,2016-05-02,13.27,16.02,165
1644430081,2016-05-08,1,137,154,2016-05-08,2.28,2.57,17
1844505072,2016-04-15,1,644,961,2016-04-15,10.73,16.02,317
1844505072,2016-04-30,1,722,961,2016-04-30,12.03,16.02,239
1844505072,2016-05-01,1,590,961,2016-05-01,9.83,16.02,371
1927972279,2016-04-12,3,750,775,2016-04-12,12.5,12.92,25
1927972279,2016-04-13,1,398,422,2016-04-13,6.63,7.03,24
1927972279,2016-04-15,2,475,499,2016-04-15,7.92,8.32,24
1927972279,2016-04-26,1,296,315,2016-04-26,4.93,5.25,19
1927972279,2016-04-28,1,166,178,2016-04-28,2.77,2.97,12
2026352035,2016-04-12,1,503,546,2016-04-12,8.38,9.1,43
2026352035,2016-04-13,1,531,565,2016-04-13,8.85,9.42,34
2026352035,2016-04-14,1,545,568,2016-04-14,9.08,9.47,23
2026352035,2016-04-15,1,523,573,2016-04-15,8.72,9.55,50
2026352035,2016-04-16,1,524,567,2016-04-16,8.73,9.45,43
2026352035,2016-04-17,1,437,498,2016-04-17,7.28,8.3,61
2026352035,2016-04-19,1,498,540,2016-04-19,8.3,9.0,42
2026352035,2016-04-20,1,461,510,2016-04-20,7.68,8.5,49
2026352035,2016-04-21,1,477,514,2016-04-21,7.95,8.57,37
2026352035,2016-04-22,1,520,545,2016-04-22,8.67,9.08,25
2026352035,2016-04-23,1,522,554,2016-04-23,8.7,9.23,32
2026352035,2016-04-24,1,555,591,2016-04-24,9.25,9.85,36
2026352035,2016-04-25,1,506,531,2016-04-25,8.43,8.85,25
2026352035,2016-04-27,1,508,545,2016-04-27,8.47,9.08,37
2026352035,2016-04-28,1,513,545,2016-04-28,8.55,9.08,32
2026352035,2016-04-29,1,490,510,2016-04-29,8.17,8.5,20
2026352035,2016-04-30,1,573,607,2016-04-30,9.55,10.12,34
2026352035,2016-05-01,1,527,546,2016-05-01,8.78,9.1,19
2026352035,2016-05-02,1,511,543,2016-05-02,8.52,9.05,32
2026352035,2016-05-04,1,538,560,2016-05-04,8.97,9.33,22
2026352035,2016-05-05,1,468,485,2016-05-05,7.8,8.08,17
2026352035,2016-05-06,1,524,548,2016-05-06,8.73,9.13,24
2026352035,2016-05-07,1,511,521,2016-05-07,8.52,8.68,10
2026352035,2016-05-08,1,541,568,2016-05-08,9.02,9.47,27
2026352035,2016-05-09,1,531,556,2016-05-09,8.85,9.27,25
2026352035,2016-05-10,1,357,380,2016-05-10,5.95,6.33,23
2026352035,2016-05-11,1,523,553,2016-05-11,8.72,9.22,30
2026352035,2016-05-12,1,456,485,2016-05-12,7.6,8.08,29
2320127002,2016-04-23,1,61,69,2016-04-23,1.02,1.15,8
2347167796,2016-04-13,1,467,531,2016-04-13,7.78,8.85,64
2347167796,2016-04-14,1,445,489,2016-04-14,7.42,8.15,44
2347167796,2016-04-15,1,452,504,2016-04-15,7.53,8.4,52
2347167796,2016-04-17,1,556,602,2016-04-17,9.27,10.03,46
2347167796,2016-04-18,1,500,557,2016-04-18,8.33,9.28,57
2347167796,2016-04-19,1,465,514,2016-04-19,7.75,8.57,49
2347167796,2016-04-21,1,460,484,2016-04-21,7.67,8.07,24
